id(int),AbilityType(int),Ability_Name,ATACK,DEFENCE,MATACK,MDEFENCE,SPEED,MIND,VITALITY,Ability_Desc,Desc,rank
1001,0,速攻,15,0,15,0,20,0,0,速攻を仕掛ける,試合開始30秒間だけ発動,0
1002,0,遅滞戦闘,5,15,5,15,0,5,5,手堅く戦闘時間を伸ばす,試合開始2分後から発動,0
1003,0,強者狩り,5,5,5,5,5,10,10,強者に対して強くなる,能力値合計n以上で発動,0
1004,0,近接刈り,5,5,5,5,10,5,10,近接戦闘相手に強くなる,相手のrangetypeで判定,0
1005,0,遠距離刈り,5,5,5,5,10,5,10,遠距離戦闘相手に強くなる,相手のrangetypeで判定,0
1006,0,畳み掛け,10,5,10,5,10,5,5,体力が低い相手に強くなる,相手の体力で判定,0
1007,0,草原対応力,5,5,5,5,5,5,5,草原で強くなる,ギルドモード主体のスキル,0
1008,0,森林対応力,5,5,5,5,5,5,5,森林で強くなる,ギルドモード主体のスキル,0
1009,0,岩山対応力,5,5,5,5,5,5,5,岩山で強くなる,ギルドモード主体のスキル,0
1010,0,火山対応力,5,5,5,5,5,5,5,火山で強くなる,ギルドモード主体のスキル,0
2001,1,免許皆伝(剣),10,0,0,0,20,0,10,剣術の達人,特定武器を使用時にバフ,0
2002,1,免許皆伝(槍),20,-5,0,0,20,0,5,槍術の達人,特定武器を使用時にバフ,0
2003,1,免許皆伝(杖),-5,0,30,10,-10,15,0,魔導の達人,特定武器を使用時にバフ,0
2004,1,免許皆伝(弓),15,-5,0,0,25,10,-5,弓術の達人,特定武器を使用時にバフ,0
2005,1,免許皆伝(拳),25,-10,-10,-10,25,0,20,拳法の達人,特定武器を使用時にバフ,0
3001,2,熱血,30,-10,-20,-10,30,10,10,熱き魂が溢れ出る,集団戦向け,0
3002,2,指揮官,5,10,5,10,10,5,5,優れた陣形指揮,集団戦向け,0
3003,2,号令,0,10,0,10,15,5,10,不屈の掛け声,集団戦向け,0
3004,2,回復の心得,0,0,0,0,0,0,20,持久力が上がる,集団戦向け,0
3005,2,戦術の心得,0,0,0,0,0,20,0,賢さが上がる,集団戦向け,0
3006,2,蠢動の心得,0,0,0,0,20,0,0,速さが上がる,集団戦向け,0
